iter	Passed	Remaining
401	14342	3496
402	14377	3460
403	14410	3424
404	14444	3388
405	14481	3352
406	14517	3317
407	14550	3281
408	14584	3245
409	14622	3209
410	14661	3174
411	14698	3139
412	14733	3103
413	14767	3067
414	14801	3031
415	14838	2996
416	14875	2960
417	14914	2925
418	14949	2889
419	14985	2854
420	15021	2818
421	15053	2782
422	15089	2746
423	15123	2710
424	15158	2675
425	15194	2639
426	15229	2603
427	15265	2568
428	15302	2532
429	15340	2497
430	15375	2461
431	15413	2426
432	15448	2390
433	15483	2354
434	15520	2319
435	15555	2283
436	15591	2247
437	15630	2212
438	15665	2176
439	15700	2140
440	15734	2105
441	15769	2069
442	15805	2033
443	15841	1998
444	15877	1962
445	15914	1926
446	15952	1891
447	15987	1855
448	16024	1820
449	16059	1784
450	16094	1748
451	16130	1712
452	16164	1677
453	16201	1641
454	16236	1605
455	16271	1570
456	16304	1534
457	16340	1498
458	16377	1462
459	16411	1427
460	16444	1391
461	16479	1355
462	16515	1319
463	16549	1284
464	16586	1248
465	16624	1212
466	16662	1177
467	16697	1141
468	16731	1105
469	16766	1070
470	16800	1034
471	16836	998
472	16872	963
473	16906	927
474	16945	891
475	16981	856
476	17019	820
477	17054	784
478	17089	749
479	17122	713
480	17159	677
481	17195	642
482	17228	606
483	17265	570
484	17300	535
485	17335	499
486	17363	463
487	17393	427
488	17423	391
489	17455	356
490	17492	320
491	17522	284
492	17551	249
493	17582	213
494	17617	177
495	17655	142
496	17690	106
497	17727	71
498	17764	35
499	17801	0
