iter	Logloss
453	0.4824340904
454	0.4824170797
455	0.4824059477
456	0.4823928169
457	0.4823777253
458	0.4823618755
459	0.4823523052
460	0.4823404374
461	0.4823255521
462	0.4823127525
463	0.4823103331
464	0.4823002219
465	0.4822847797
466	0.4822673818
467	0.4822552216
468	0.4822407645
469	0.4822313261
470	0.482216525
471	0.4822022298
472	0.4821901476
473	0.482179644
474	0.4821602534
475	0.4821493497
476	0.4821313113
477	0.4821200446
478	0.4821020141
479	0.4820852751
480	0.4820719958
481	0.4820569779
482	0.4820436367
483	0.4820298962
484	0.4820202707
485	0.482005021
486	0.4819947742
487	0.4819841647
488	0.4819697668
489	0.4819530741
490	0.4819302401
491	0.4819198014
492	0.4819057118
493	0.4818941829
494	0.4818814967
495	0.4818716132
496	0.4818583077
497	0.4818402253
498	0.4818225951
499	0.481808083
